Name,Price,Link
Apple AirPods Pro,$234.98,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00054143REYSW83HUZB3&url=%2FApple-MWP22AM-A-AirPods-Pro%2Fdp%2FB07ZPC9QD4%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dapple%26qid%3D1583892954%26sr%3D8-1-spons%26psc%3D1&qualifier=1583892954&id=6523935797401278&widgetName=sp_atf
"Apple iPad Pro (11-inch, Wi-Fi, 256GB) - Space Gray (Latest Model)",$899.00,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A05481383I6CXWL08ND0T&url=%2FApple-iPad-11-inch-Wi-Fi-256GB%2Fdp%2FB07K3BZSNK%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dapple%26qid%3D1583892954%26sr%3D8-2-spons%26psc%3D1&qualifier=1583892954&id=6523935797401278&widgetName=sp_atf
"Apple Watch Series 5 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",$414.99,/Apple-Watch-GPS-44mm-Aluminum/dp/B07XQXPF21/ref=sr_1_3?keywords=apple&qid=1583892954&sr=8-3
Apple AirPods with Charging Case,$139.00,/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q/ref=sr_1_4?keywords=apple&qid=1583892954&sr=8-4
"New Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Latest Model)",$279.00,/Apple-iPad-10-2-Inch-Wi-Fi-32GB/dp/B07XL7G4H6/ref=sr_1_5?keywords=apple&qid=1583892954&sr=8-5
Apple AirPods Pro,$234.98,/Apple-MWP22AM-A-AirPods-Pro/dp/B07ZPC9QD4/ref=sr_1_6?keywords=apple&qid=1583892954&sr=8-6
"Apple Watch Series 5 (GPS + Cellular, 40mm) - Silver Aluminum Case with White Sport Band",$484.98,/Apple-Watch-GPS-Cellular-40mm/dp/B07XQYCKC4/ref=sr_1_7?keywords=apple&qid=1583892954&sr=8-7
Apple Pencil (2nd Generation),$119.50,/Apple-MU8F2AM-A-Pencil-Generation/dp/B07K1WWBJK/ref=sr_1_8?keywords=apple&qid=1583892954&sr=8-8
"Apple iPhone XR, 64GB, Coral - Fully Unlocked (Renewed)",$434.99,/Apple-iPhone-XR-Fully-Unlocked/dp/B07P9765VS/ref=sr_1_9?keywords=apple&qid=1583892954&sr=8-9
"Apple TV 4K (32GB, Latest Model)",$179.00,/Apple-TV-32GB-Latest-Model/dp/B075NCMLYL/ref=sr_1_10?keywords=apple&qid=1583892954&sr=8-10
