Name,Price,Link,Customer Review,Review Count
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$229.99,www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A0607703WH7KYBINU1HP&url=%2FLenovo-Chromebook-MediaTek-Processor-81JW0000US%2Fdp%2FB07GLV1VC7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming_laptop%26qid%3D1583938551%26sr%3D8-2-spons%26psc%3D1&qualifier=1583938550&id=7603624414838837&widgetName=sp_atf,4.2,335
"Acer Predator Helios 300 Gaming Laptop, Intel Core i7-9750H, GeForce RTX 2060, 15.6"" Full HD 144Hz Display, 3ms Response Time, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Backlit Keyboard, PH315-52-75DE,Black","$1,299.99",www.amazon.com/Acer-Predator-i7-9750H-Response-PH315-52-75DE/dp/B07YM9KTW4/ref=sr_1_3?keywords=gaming_laptop&qid=1583938551&sr=8-3,4.5,1695
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L,Black",$313.41,www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_5?keywords=gaming_laptop&qid=1583938551&sr=8-5,4.5,4040
"MSI GF65 Thin 9SD-004 15.6"" 120Hz Gaming Laptop Intel Core i7-9750H GTX1660Ti 16GB 512GB NVMe SSD Win10Home",$945.00,www.amazon.com/MSI-GF65-9SD-004-GTX1660Ti-Win10Home/dp/B081JDXQTK/ref=sr_1_6?keywords=gaming_laptop&qid=1583938551&sr=8-6,4.5,100
"ASUS TUF Gaming Laptop, 17.3” Full HD IPS Type, AMD Ryzen 5 3550H CPU, AMD Radeon RX560X, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home - FX705DY-EH53",$729.99,www.amazon.com/ASUS-Gaming-Laptop-Gigabit-Windows/dp/B07YZ1CM55/ref=sr_1_7?keywords=gaming_laptop&qid=1583938551&sr=8-7,4.2,102
"Dell G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","$1,199.98",www.amazon.com/Dell-Gaming-Windows-i7-9750H-G7790-7662GRY-PUS/dp/B07RCP7ZV8/ref=sr_1_8?keywords=gaming_laptop&qid=1583938551&sr=8-8,4.3,87
"2019 Lenovo Legion Y540 15.6"" FHD Gaming Laptop Computer, 9th Gen Intel Hexa-Core i7-9750H Up to 4.5GHz, 32GB DDR4 RAM, 1TB HDD + 512GB PCIE SSD, GeForce GTX 1650 4GB, 802.11ac WiFi, Windows 10 Home","$1,137.00",www.amazon.com/Lenovo-Y540-Computer-Hexa-Core-i7-9750H/dp/B07VSFY3P9/ref=sr_1_9?keywords=gaming_laptop&qid=1583938551&sr=8-9,4.8,15
"Acer Predator Helios 300 Gaming Laptop PC, 15.6"" FHD IPS w/ 144Hz Refresh, Intel i7-8750H, GTX 1060 6GB, 16GB DDR4, 256GB NVMe SSD, Aeroblade Metal Fans PH315-51-78NP",$964.93,www.amazon.com/Acer-Predator-Overclockable-Aeroblade-PH315-51-78NP/dp/B07CTHLX8C/ref=sr_1_10?keywords=gaming_laptop&qid=1583938551&sr=8-10,4.1,1314
"2020 HP Pavilion 15 15.6"" FHD Touchscreen Laptop Computer, 10th Gen Intel Quard-Core i7 1065G7 up to 3.9GHz, 12GB DDR4 RAM, 1TB HDD, 802.11AC WiFi, Bluetooth 5.0, Windows 10, YZAKKA Accessories",$799.00,www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0919982LJIY1Y7EZYY5&url=%2FHP-15-Touchscreen-Quard-Core-Accessories%2Fdp%2FB084QKCRK4%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dgaming_laptop%26qid%3D1583938551%26sr%3D8-11-spons%26psc%3D1&qualifier=1583938550&id=7603624414838837&widgetName=sp_mtf,5.0,9
"Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black",$722.40,www.amazon.com/Lenovo-Ideapad-i5-9300H-Processor-81LK00HDUS/dp/B07VC55LF5/ref=sr_1_13?keywords=gaming_laptop&qid=1583938551&sr=8-13,4.4,396
"Omen by HP 2019 17-Inch Gaming Laptop, Intel i7-9750H Processor, NVIDIA RTX 2080 8 GB, 16 GB RAM, 256 GB SSD & 1 TB HDD, VR Ready, Windows 10 Home (17-cb0050nr, Black)","$1,949.99",www.amazon.com/HP-17-Inch-i7-9750H-Processor-17-cb0050nr/dp/B07T443QPD/ref=sr_1_14?keywords=gaming_laptop&qid=1583938551&sr=8-14,4.2,57
"2019 Dell 15.6"" FHD IPS High Performance Gaming Laptop | Intel Quad-Core i5-8300H | 16GB DDR4 Memory | 512GB SSD +1TB HDD | GeForce GTX 1050 Ti 4GB | Backlit Keyboard | MaxxAudio Pro | Windows 10",$720.00,www.amazon.com/Dell-Performance-Quad-Core-i5-8300H-MaxxAudio/dp/B07NTPVXKV/ref=sr_1_15?keywords=gaming_laptop&qid=1583938551&sr=8-15,3.9,33
"Acer Nitro 7 Gaming Laptop, 15.6"" Full HD IPS Display, 9th Gen Intel i7-9750H, GeForce GTX 1650 4GB, 16GB DDR4, 512GB PCIe NVMe SSD, Backlit Keyboard, AN715-51-752B",$915.00,www.amazon.com/Acer-Display-i7-9750H-Keyboard-AN715-51-752B/dp/B07QWVDPQT/ref=sr_1_16?keywords=gaming_laptop&qid=1583938551&sr=8-16,3.9,35
"CUK MSI GF65 Thin Gaming Laptop (Intel i7-9750H, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce GTX 1660 Ti 6GB, 15.6"" FHD 120Hz IPS-Level, Windows 10 Home) Gamer Notebook Computer","$1,199.99",www.amazon.com/Zephyrus-Notebook-i7-8750H-Windows-Computer/dp/B07D9TX1V6/ref=sr_1_17?keywords=gaming_laptop&qid=1583938551&sr=8-17,4.6,22
