Name,Price,Link,Customer Review,Review Count,Is Amazon's Choice (Recommendation),Seller,Original Listing Price (If Applicable),Specs List(If Applicable),Item Description,Shipping Option,Returning Option,Item Stock Level,Protection Plan Offered,Protection Plan Price (2 year),Protection Plan Price (4 year)
Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty |Cosmic Gray,$999.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0262722411PRETUDS1&url=%2FSamsung-Unlocked-Fingerprint-Recognition-Long-Lasting%2Fdp%2FB082XY23D5%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-1-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_atf,3.1,16,False,Samsung,N/A,S20 5G / S20 5G w/ Free Galaxy Buds and DUO Pad / S20 Ultra / S20 Ultra w/ Free Galaxy Buds and DUO Pad / S20+ / S20+ w/ Free Galaxy Buds and DUO Pad / 128GB / 512GB / Cloud Blue / Cloud Pink / Cosmic Gray / Cosmic Black,"Power of 5G: Get next-level power for everything you love to do with Samsung Galaxy 5G; Share more, game harder, experience more and never miss a beat 
 Single Take AI: Capture video and multiple types of images with one tap of the shutter button; Lenses, effects and filters capture the best of every moment, every time 
 Hi-Res Camera Zoom: Capture hi-res images as if you’re 3 feet away, from 100 feet away; Whether you want to zoom in close from afar or magnify details nearby, the new 30x Space Zoom gives you impressive power and clarity 
 Bright Night Mode: Capture crisp images and vibrant video in Bright Night mode and create high-quality content in low light – no flash needed 
 Super Fast Charging: Charge up quicker with Super Fast Charge so you can keep moving with more juice; Give your buds – or Galaxy buds – a boost of power with Wireless PowerShare right from Galaxy S20 5G 
 All-Day Battery: Galaxy S20 5G’s intelligent battery uses an algorithm to learn from how you live to optimize power and take you through a day or more of work and life without ever giving out on you 
 included components: Handset, Travel Adapter, Data Cable, AKG Headset, Ejection Pin, USB Connector Screen Protector Leaflet, Smart Switch Insert, Quick Reference Manual, Terms & Conditions/ Health & Safety Guide 
 camera description: Front Rear",FREE Shipping,FREE Returns,In Stock.,True,$94.99,N/A
Trimline Corded Phone - Phones for Seniors - Phone for Hearing impaired - Classic Blue - Retro Novelty Telephone - an Improved Version of The Princess Phones in 1965 - Style Big Button,$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A09078183QRSY6CVZF48&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CVAZYT4%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-2-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_atf,3.7,531,False,iSoHo Phones,N/A,Classic Blue / Crimson Red / Earth Day Green / Ladies Pink,"30 Day Money Back Guarantee - iSoHo Timline Corded Phones have a 3 Year Replacement/Repair Warranty - UL Listed - Made of ABS Plastic, (American Bell Standard), for it's strength, flexibility, machinability, and higher temperature resistance, you'll enjoy many years of convenient use from your iSoHo Phone. 
 We are an Eco-Friendly Company and there are plenty of options for making that happen in an eco-friendly way, this product is packaged to eliminate un-needed and wasteful fancy packaging materials - Optional 15ft and 25ft Matching Colors Handset Curly Cords available by clicking the 
 Hearing Aid Compatible Unique Retro House or Office Phones - Patient Room Telephones - Last Number Redial - Used Extensively As Home Business Phones - Hotel Guest Phones - Patient Phones 
 Phones For Seniors Blue House Phone - White House Phone - White House Phone - Select Trimline Phone Red, Blue, Black or Trimline Phone Big Numbers - Lighted Dial Mode - Ringer on/off switch located on bottom of base - High/low volume control located on handset - Directory card included - With Ring Alert Strobe Light - Perfect for Baby Boomer Gifts 
 FCC Approved Retro House Phone - phones for seniors blue house phones Stylish Sleek Design Landline Phones - Mother's Day - White Wall Phone - Corded Slimline Phone - Desk Telephone - Great Holiday Gifts For Home and Kitchen",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
"VTech CS6114 DECT 6.0 Cordless Phone with Caller ID/Call Waiting, White/Grey with 1 Handset",$12.99,https://www.amazon.com/VTech-CS6114-Cordless-Waiting-Handset/dp/B004OA758C/ref=sr_1_3?keywords=phone&qid=1583976674&sr=8-3,4.0,8429,True,N/A, $19.95,Black Without Answering System / With Answering System / Without Answering System,"DECT 6.0 Digital technology, Caller ID/Call Waiting, Backlit keypad and display 
 30 name and number phonebook directory, 30 name and number Caller ID history, Voicemail Waiting Indicator 
 For optimal performance batteries should be charged for 16 hours prior to use 
 DSL Subscribers may need to us a DSL Filter. Speed Dial, Phonebook, Mute, Flash Function 
 No Answering Device in the phone. No Speaker Phone. Refer to product description below for additional Cordless Phone features.Trilingual Menu Support (English / Spanish / French)","Fast, Free Shipping",FREE Returns,In Stock.,False,N/A,N/A
"VTech CS6719-2 2-Handset Expandable Cordless Phone with Caller ID/Call Waiting, Handset Intercom & Backlit Display/Keypad",$28.73,https://www.amazon.com/VTech-CS6719-2-2-Handset-Expandable-Cordless/dp/B00FRSYS12/ref=sr_1_4?keywords=phone&qid=1583976674&sr=8-4,4.2,4757,True,VTech,N/A,N/A,"Confirm proper installation of the telephone base and charger power adapters, and handset battery. You should only use the VTech power adapters provided with your telephone. Make sure the power adapters are connected to working electrical outlets that are not controlled by a wall switch. Ensure the telephone cord is securely installed at the base and the wall jack. Or try another telephone cord.",FREE Shipping,FREE Returns,In Stock.,True,N/A,N/A
Panasonic DECT 6.0 Expandable Cordless Phone with Answering Machine and Smart Call Block - 2 Cordless Handsets - KX-TGD532W (White),$39.99,https://www.amazon.com/Panasonic-KX-TGD532W-Expandable-Cordless-Answering/dp/B071GQB94T/ref=sr_1_5?keywords=phone&qid=1583976674&sr=8-5,4.3,5952,False,N/A, $59.95,Black / Metallic Black / White / 1 Handset / 2 Handsets / 3 Handsets / 5 Handsets / Talking Caller ID / Talking Caller ID + Answering Machine,"One Touch Telephone Call Block : Register up to 150 numbers with one touch call block on the cordless phone base unit & cordless handsets; Compatible with hearing aid T coil (TIA 1083 compliant) 
 BI Lingual Caller ID Talking Caller ID audibly announces Caller information in either English or Spanish from the Telephone’s base unit and cordless handsets when you can't view the screen 
 Quick Read Message Counter : Instantly know how many phone messages you have received with a large, easy to read message counter on the phone system's elegant cordless base unit 
 High Contrasts Displays & Kepads : Large 1.6 inch backlit LCD cordless handset screens clearly show call functions in any light; Soft touch amber backlit keypads Enhance readability; Talk Time Up to 10 hours; Standby Time Up to 5 days (120 hours); Charge Time About 7 hours 
 Telephone Ringer IDs : Assigned pre programmed ringtones will sound on the phone’s base unit and cordless handsets when corresponding caller ID numbers are received from incoming telephone calls",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
"AT&T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, Black",$12.95,https://www.amazon.com/AT-Trimline-Corded-Required-Wall-Mountable/dp/B00005MITU/ref=sr_1_6?keywords=phone&qid=1583976674&sr=8-6,4.0,6030,False,AT&T, $18.79,Black / White,"Lighted Keypad 
 3 One-Touch Memory Buttons 
 13 Number Speed Dial Memory 
 Ringer Volume Control 
 Handset Volume Control","Fast, Free Shipping",FREE Returns,In Stock.,False,N/A,N/A
PANASONIC Expandable Cordless Phone System with Amber Backlit Display – 2 Handsets – KX-TGC352B (Black,$34.31,https://www.amazon.com/PANASONIC-Expandable-Cordless-Backlit-Display/dp/B01KLNIT0S/ref=sr_1_7?keywords=phone&qid=1583976674&sr=8-7,4.2,2991,True,Panasonic, $39.95,1 Handset / 2 Handsets / 4 Handsets / Caller ID / Caller ID + Answering Machine,"Easy To Read cordless phone Display : See who's calling at a glance on our wide, 1. 6 inch Amber Backlit LCD screen on the phone’s base unit and cordless handset 
 Call Block Eliminate unwanted calls with Call Block capability; Register up to 30 numbers by entering caller ID info into the phone's call block memory 
 Intelligent Eco Mode : Power conserving technology manages consumption for optimal phone battery performance 
 Silent Mode cordless Handsets : Silent mode allows you to select a period of time during which the cordless handset and/or telephone base unit will not ring for outside calls 
 Caller ID : This cordless phone system is Caller ID compatible; To use Caller ID features, you must subscribe to a Caller ID service; Contact your phone service provider for Details; Frequency:1.9 GHz.Base unit standby power consumption:0.6 W",FREE Shipping,FREE Returns,In Stock.,True,N/A,$6.99
"BLU Advance A4 2019- Unlocked Dual Sim, 16GB -Black",$39.99,https://www.amazon.com/BLU-Advance-2019-Unlocked-Black/dp/B07YF5JQFB/ref=sr_1_8?keywords=phone&qid=1583976674&sr=8-8,3.6,529,True,N/A,N/A,N/A,"Vivid 4.0” Touchscreen Display 
 5MP Main Camera with flash + 2MP Selfie Camera 
 16GB Internal memory 512MB RAM Micro SD up to 64GB, 1.3GHz Quad core processor with Mali-400 GPU 
 GSM Quad band, 3G (850/1700/1900): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, Metro PCS, Straight Talk, and others. Not compatible with CDMA networks like Verizon, Sprint and Boost mobile.",FREE Shipping,FREE Returns,In Stock.,True,$6.99,N/A
"Samsung Galaxy S10e Factory Unlocked Phone with 128GB (U.S. Warranty), Prism Blue (Renewed)",$349.99,https://www.amazon.com/Samsung-Factory-Unlocked-Warranty-Renewed/dp/B07PB77Z4J/ref=sr_1_10?keywords=phone&qid=1583976674&sr=8-10,4.3,92,False,N/A,N/A,S10+ / S10 / S10e / 1TB / 128 GB / 256GB / 512GB / Ceramic Black / Ceramic White / Flamingo Pink / Prism Black / Prism Blue / Prism White,"An immersive Cinematic Infinity Display, Pro-grade Camera and Wireless PowerShare. The next generation is here. 
 Pro-grade Camera effortlessly captures epic, pro-quality images of the world as you see it. 
 Intelligently accesses power by learning how and when you use your phone.",N/A,N/A,In Stock.,True,$88.99,N/A
"Trimline Corded Phone - Senior Landline Phones for Home – Home Phones for Seniors and the Hearing and Vision Impaired, Extra Loud Ringer, Large Backlit Keypad and Voice Amplification Wall Mount Ready!",$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0167145HBX5UDLUR5J7&url=%2FTrimline-Phone-impaired-Telephone-Improved%2Fdp%2FB00CY470WG%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-11-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_mtf,3.6,59,False,iSoHo Phones,N/A,N/A,"★ UNLIKE OTHER LAND LINE TELEPHONES for home that DON’T PICK UP VOICES well and make it HARDER – NOT EASIER – TO HEAR the person on the other end of the line, the iSoHo Trimline Corded Phone has a TARGETED VOICE AMPLIFIER microphone UNIQUELY DESIGNED to amplify softer voices, as well as 3 ADJUSTABLE VOLUME CONTROLS and an EXTRA LOUD RINGER. Created for seniors and the hearing-impaired, our home phone is also the best landline phone for those with LOW SPEECH and LIMITED MOBILITY. 
 ★ DON’T SETTLE FOR landline phones for seniors THAT FALL SHORT of what your loved ones need, with UNRELIABLE FUNCTIONS and buttons that are TOO HARD TO SEE. Our house phone is designed with the exact special features needed by the elderly and vision-impaired – including a keypad with EXTRA-LARGE NUMBERS that are also BACKLIT for increased visibility, day or night. Our corded telephone also has an optional RING ALERT STROBE LIGHT, so users can CLEARLY SEE when a call is coming in. 
 ★ LIGHTWEIGHT, EASY TO HOLD DESIGN! Inspired by the 1965 vintage Princess Phone, your elderly parent or relative will love our landline corded phones for home ’s RETRO EXTERIOR – which features an upgraded DURABLE, LIGHTWEIGHT BODY that’s easy to hold and WON’T AGGRAVATE ARTHRITIS. Comes with a phone mount – whether on a table or mounted to the wall, our senior phone adds a fun VINTAGE TOUCH to any decor! 
 ★ OUR 3-YEAR PROMISE TO YOU: Many landline telephones for home are downright frustrating to use, with unreliable, spotty dial tones and inconsistent functions. We’ve designed and tested our wall phones with the HIGHEST QUALITY PERFORMANCE and functionality in mind, for FIRST-RATE RELIABILITY at all times. Try our wall phone for UP TO 3 YEARS – if you aren’t completely satisfied with your wall phones for landline we’ll RETURN YOUR PAYMENT in full. 
 ★ AT ISOHO PHONES, WE KNOW HOW IMPORTANT IT IS TO keep in touch with your loved ones. We made it our mission to design the best phone for the elderly and hearing impaired, to EMPOWER them to TALK WITH FAMILY AND FRIENDS over the phone despite the hindrances of age and disability. Our customers are our top priority – please don’t hesitate to REACH OUT TO US with any questions you may have. WE’RE ALWAYS HERE TO HELP.",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
Trimline Corded Phone - Phones for Seniors - Phone for Hearing impaired - Black - Retro Novelty Telephone - an Improved Version of The Princess Phones in 1965 - Style Big Button,$42.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A016744535ZWM627T0J15&url=%2FTrimline-Corded-Phone-impaired-Telephone%2Fdp%2FB00CU6S87Y%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dphone%26qid%3D1583976674%26sr%3D8-12-spons%26psc%3D1&qualifier=1583976674&id=2243645637218253&widgetName=sp_mtf,3.5,121,True,iSoHo Phones,N/A,N/A,"✅ IDEAL FOR moderate to severe hearing loss, low speech, limited mobility or low vision. Lightweight, arthritis friendly desktop telephone. Easy See Buttons. Volume XL Amplifier. Ringer Strobe Alert. 
 ✅ NEVER MISS A CALL: Ringer alert strobe light and extra loud ringer visually and auditorily alert you to incoming calls. Set it to silent to stop ringer, and still see strobe light. 
 ✅ ELEVATE YOUR DECOR - Retro, vintage Princess Phone from 1965 is now UPGRADED for more durability and features that make sense, without overwhelming. 
 ✅ SIMPLE FEATURES: Trimline Phone in Red, Blue, Black have large Easy-See Backlit Numbers - Lighted Dial Mode - Electronics Ringer on/offswitch located on bottom of base - High/low volume control located on handset - Directory card included - With Ring Alert Strobe Light 
 ✅ 3 Year Warranty - 30 Day Money Back Guarantee: Try it risk-free for 30 days. Love it. Hear your loved ones and doctor clearly. Dial the rightperson every time without frustration or your money back",FREE Shipping,FREE Returns,In Stock.,True,N/A,$8.99
PANASONIC Corded / Cordless Phone System with Answering Machine and One Touch Call Blocking – 2 Handsets - KX-TGF352N (Champagne Gold),$73.80,https://www.amazon.com/PANASONIC-Cordless-Answering-Machine-Blocking/dp/B00UFJ4VF6/ref=sr_1_13?keywords=phone&qid=1583976674&sr=8-13,4.3,4140,True,N/A, $89.95,Champagne Gold / Metallic Black / 1 Handset / 2 Handsets / 3 Handsets / Corded/Cordless / Corded/Cordless + Link2Cell,"Easy to Use : Phone Base 3.4 inch high contrast LCD easily adjusts back and forth for maximum readability; Illuminated keypad & buttons are easily seen in any landline telephone lighting conditions 
 One Touch Telephone Call Block Register up to 250 numbers with one touch Call Block on base unit & cordless handsets; Compatible with Hearing Aid T Coil (TIA 1083 Compliant); Optional Range Extender 
 Enhanced cordless phone Sound Quality : noise reduction automatically suppresses background interference while enhancing voice tones for clearer conversation on the base unit & cordless handsets; Base unit dimensions (W x D x H) 8.7 x 6.4 x 4 inches; Handset dimensions (W x D x H) 1.8 x 1.1 x 6.6 inches; Charger dimensions (W x D x H) 2.8 x 2.8 x 1.5 inches 
 Built In Baby Monitor : A monitoring cordless handset in the baby’s room sends an immediate alert to the phone system’s base unit and any landline phone or cell phone; Number of phone Lines 1 
 Powerful phone Battery Backup : With a charged cordless handset in the base unit, Enjoy up to 7 hours of talk time when the power goes out; Power source 120 Volt AC, 60 Hz",FREE Shipping,FREE Returns,In Stock.,True,N/A,$9.99
"AT&T CL2940 Corded Phone with Caller ID/Call waiting, Speakerphone, XL Tilt Display, XL Buttons & Audio Assist Volume Boost",$29.95,https://www.amazon.com/AT-CL2940-waiting-Speakerphone-Display/dp/B009R5VTX6/ref=sr_1_14?keywords=phone&qid=1583976674&sr=8-14,4.0,3425,True,N/A,N/A,N/A,"Caller ID/Call Waiting 
 Speakerphone, Audio Assist 
 Extra-Large Tilt Display, LCD Display, Hearing aid compatible 
 Extra-Large Buttons, Extra-Loud Ringer. Table- and wall-mountable 
 DSL Subscribers may need to use a DSL Filter. Line power speakerphone 
 The telephone works without AC Power. For the Caller ID to function, four AA batteries (not included) are necessary",FREE Shipping,FREE Returns,In Stock.,True,N/A,N/A
"Samsung Galaxy A51 (128GB, 4GB) 6.5"", 48MP Quad Camera, Dual SIM GSM Unlocked A515F/DS- Global 4G LTE International Model (Prism Crush White)",$284.95,https://www.amazon.com/Samsung-Galaxy-Camera-Unlocked-International/dp/B083NJRP1L/ref=sr_1_15?keywords=phone&qid=1583976674&sr=8-15,4.5,15,False,N/A,N/A,Prism Crush Black / Prism Crush Blue / Prism Crush White / 128 GB / 128GB + 64GB SD + Case Bundle,"Will NOT work with CDMA Carriers Such as Verizon, Sprint, Boost Dual SIM International model phone, Does NOT have US warranty. Will work with Most GSM SIM cards in U.S. and world Including AT&T, T-Mobile, MetroPCS. 
 4G: FDD LTEB1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B20(800), B26(850), B28(700), B66(AWS-3), 4G: TDD LTEB38(2600), B40(2300), B41(2500) 2G: GSM850, GSM900, DCS1800, PCS1900, 3G: UMTSB1(2100), B2(1900), B4(AWS), B5(850), B8(900) 
 Quad Rear Camera: 48MP + 12MP + 5MP + 5MP, Rear Camera Zoom: Digital Zoom up to 8x, Front Camera: 32MP 
 RAM: 4GB, ROM: 128GB, MicroSD (Up to 512GB), Octa-Core, 2.3GHz, 1.7GHz, Exynos 9611, 4000 mAh Battery, On-Screen Fingerprint scanner 
 Display: 164.0mm (6.5""), Infinity-O Display, Super AMOLED, Resolution: 1080 x 2400 (FHD+), Color Depth: 16M",FREE Shipping,FREE Returns,"In stock on March 17, 2020.",True,$54.99,N/A
Google - Pixel 3a with 64GB Memory Cell Phone (Unlocked) - Just Black - G020G,$360.32,https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/dp/B07R7DY911/ref=sr_1_16?keywords=phone&qid=1583976674&sr=8-16,4.4,2948,False,Google, $399.00,Clearly White / Just Black / Purple-ish / 3a / 3a XL,"Save every photo with free, unlimited storage at high quality through Google photos [1]. 
 The Google assistant is the easiest way to get things done – including screening calls.[2] 
 Fast Charging battery delivers up to 7 hours of use with just a 15-minute charge.[3] 
 Comes with 3 years of OS and security updates] and the custom-built Titan M chip.[5] 
 Switch seamlessly and keep all your stuff [6]. Plus your favorite Google apps are built in.",FREE Shipping,FREE Returns,In Stock.,True,$88.99,N/A
"BLU Studio View 2019-6.0” GSM Unlocked Smartphone, 32GB+1GB RAM -Black",$64.99,https://www.amazon.com/BLU-Studio-2019-6-0-Unlocked-Smartphone/dp/B081FGL5XX/ref=sr_1_17?keywords=phone&qid=1583976674&sr=8-17,3.6,116,True,BLU,N/A,N/A,"8MP Main Camera with LED Flash + 8MP Selfie Camera with LED Flash 
 32GB Internal Memory 1GB RAM Micro SD up to 64GB; Quad Core 1.3GHz processor with Mali-400 
 Fingerprint Sensor, and Android 8.1 Oreo (Go Edition) 
 3G: (850/900/1900/2100): US compatibility Nationwide on all GSM Networks including AT&T, T-Mobile, Cricket, Metro PCS, and others. Not compatible with CDMA Networks like Verizon, Sprint and Boost Mobile)",FREE Shipping,FREE Returns,In Stock.,True,$9.99,N/A
